	WORD	COGID	ALIGN
2202	79	1	f l ei sch
2203	30	1	f l ai sch
2204	79	1	f l ei sch
2205	79	1	f l ei sch
2206	79	1	f l ei sch
2207	79	1	f l ei sch
2208	79	1	f l ei sch
2209	79	1	f l ei sch
2210	79	1	f l ei sch
2211	79	1	f l ei sch
2212	79	1	f l ei sch
2213	94	1	f l e sch
2214	94	1	f l e sch
2215	64	1	f l ee sch
2216	64	1	f l ee sch
2217	64	1	f l ee sch
2218	94	1	f l e sch
2219	64	1	f l ee sch
2220	64	1	f l ee sch
2221	64	1	f l ee sch
2222	64	1	f l ee sch
2223	94	1	f l e sch
2224	64	1	f l ee sch
2225	64	1	f l ee sch
2226	94	1	f l e sch
2227	64	1	f l ee sch
2228	64	1	f l ee sch
2229	94	1	f l e sch
2230	64	1	f l ee sch
2231	79	1	f l ei sch
2232	79	1	f l ei sch
2233	64	1	f l ee sch
2234	64	1	f l ee sch
2235	79	1	f l ei sch
2236	79	1	f l ei sch
2237	48	1	f l ä sch
